,ID,Nombre,Max_Channels,Enlace
74,1788326126,Diablo II: Resurrected,5900.0,https://twitchtracker.com/games/1788326126
75,494552,The Last of Us Part II,5900.0,https://twitchtracker.com/games/494552
76,1745202732,FIFA 23,5800.0,https://twitchtracker.com/games/1745202732
77,2011938005,EA Sports FC 25,5700.0,https://twitchtracker.com/games/2011938005
78,32399,Counter-Strike,5600.0,https://twitchtracker.com/games/32399
79,506246,Fallout 76,5500.0,https://twitchtracker.com/games/506246
80,24241,FINAL FANTASY XIV ONLINE,5400.0,https://twitchtracker.com/games/24241
81,519291,Black Myth: Wukong,5400.0,https://twitchtracker.com/games/519291
82,511746,Back 4 Blood,5400.0,https://twitchtracker.com/games/511746
83,509725,Minecraft Dungeons,5300.0,https://twitchtracker.com/games/509725
84,508455,Valheim,5300.0,https://twitchtracker.com/games/508455
85,497467,Monster Hunter: World,5300.0,https://twitchtracker.com/games/497467
86,766571430,HELLDIVERS 2,5200.0,https://twitchtracker.com/games/766571430
87,19801,Throne and Liberty,5200.0,https://twitchtracker.com/games/19801
88,491487,Dead by Daylight,5100.0,https://twitchtracker.com/games/491487
89,490377,Sea of Thieves,5100.0,https://twitchtracker.com/games/490377
90,512923,Baldur's Gate 3,5100.0,https://twitchtracker.com/games/512923
91,6369,God of War,5000.0,https://twitchtracker.com/games/6369
92,514974,Battlefield 2042,5000.0,https://twitchtracker.com/games/514974
93,512804,FIFA 20,5000.0,https://twitchtracker.com/games/512804
94,31376,Terraria,5000.0,https://twitchtracker.com/games/31376
95,456845141,Zenless Zone Zero,5000.0,https://twitchtracker.com/games/456845141
96,498483,Biomutant,5000.0,https://twitchtracker.com/games/498483
97,2090279789,FINAL FANTASY XVI,5000.0,https://twitchtracker.com/games/2090279789
98,1447325110,The Texas Chain Saw Massacre,4900.0,https://twitchtracker.com/games/1447325110
99,1407096487,Star Wars Jedi: Survivor,4900.0,https://twitchtracker.com/games/1407096487
100,280721,Destiny,4800.0,https://twitchtracker.com/games/280721
101,2085980140,Lethal Company,4700.0,https://twitchtracker.com/games/2085980140
102,518015,Horizon Forbidden West,4700.0,https://twitchtracker.com/games/518015
103,506415,Sekiro: Shadows Die Twice,4700.0,https://twitchtracker.com/games/506415
104,29106,S.T.A.L.K.E.R. 2: Heart of Chornobyl,4400.0,https://twitchtracker.com/games/29106
105,497451,Pokémon Sword/Shield,4400.0,https://twitchtracker.com/games/497451
106,509538,Animal Crossing: New Horizons,4400.0,https://twitchtracker.com/games/509538
107,505371,Marvel's Spider-Man,4400.0,https://twitchtracker.com/games/505371
108,435870350,Dragon's Dogma II,4300.0,https://twitchtracker.com/games/435870350
109,460696,Anthem,4300.0,https://twitchtracker.com/games/460696
110,506442,DOOM Eternal,4200.0,https://twitchtracker.com/games/506442
111,505963,Atomic Heart,4200.0,https://twitchtracker.com/games/505963
112,255298418,FINAL FANTASY VII REBIRTH,4200.0,https://twitchtracker.com/games/255298418
113,29307,Path of Exile,4100.0,https://twitchtracker.com/games/29307
114,1286077738,Monster Hunter Wilds,4100.0,https://twitchtracker.com/games/1286077738
115,1341174521,Arcane,4100.0,https://twitchtracker.com/games/1341174521
116,30921,Rocket League,4000.0,https://twitchtracker.com/games/30921
117,369585,Kingdom Hearts III,3900.0,https://twitchtracker.com/games/369585
118,1757732267,Forza Horizon 5,3800.0,https://twitchtracker.com/games/1757732267
119,460637,Dead Island 2,3700.0,https://twitchtracker.com/games/460637
120,950189725,MultiVersus,3700.0,https://twitchtracker.com/games/950189725
121,223869970,"Warhammer 40,000: Space Marine II",3600.0,https://twitchtracker.com/games/223869970
122,504461,Super Smash Bros. Ultimate,3600.0,https://twitchtracker.com/games/504461
123,504463,Tom Clancy's The Division 2,3600.0,https://twitchtracker.com/games/504463
124,19180,FINAL FANTASY XV,3600.0,https://twitchtracker.com/games/19180
125,488552,Overwatch,3600.0,https://twitchtracker.com/games/488552
126,492934,Resident Evil 7: Biohazard,3500.0,https://twitchtracker.com/games/492934
127,653624336,Lies of P,3500.0,https://twitchtracker.com/games/653624336
128,1275666892,Monster Hunter Rise,3400.0,https://twitchtracker.com/games/1275666892
