,Categoria,Year,Month,AvgViewers,ViewersGain,PercentageGainViewers,PeakViewers,HoursStreamed,HoursGain,% Gain,Followers,PercentageGainFollowers,FollowesGain,Perhour
78,Nissaxter,2018,Jul,24,-1,-4.0,84.0,46.1,-8.2,-15.1%,"6,010",+229,+4%,+5
79,Nissaxter,2018,Jun,25,1,4.2,76.0,54.4,-5.4,-9%,"5,781",+390,+7.2%,+7.2
80,Nissaxter,2018,May,24,6,33.3,115.0,59.7,+7.8,+15.1%,"5,391",+327,+6.5%,+5.5
81,Nissaxter,2018,Apr,18,1,5.9,51.0,51.9,+6.3,+13.9%,"5,064",+148,+3%,+2.9
82,Nissaxter,2018,Mar,17,1,6.3,32.0,45.6,+7.1,+18.5%,"4,916",+166,+3.5%,+3.6
83,Nissaxter,2018,Feb,16,-6,-27.3,50.0,38.5,-30.3,-44.1%,"4,750",+121,+2.6%,+3.1
84,Nissaxter,2018,Jan,22,-13,-37.1,73.0,68.8,+12.6,+22.4%,"4,629",+291,+6.7%,+4.2
85,Nissaxter,2017,Dec,35,7,25.0,147.0,56.2,-39.8,-41.5%,"4,338",+490,+12.7%,+8.7
86,Nissaxter,2017,Nov,28,4,16.7,147.0,96.0,+47.5,+97.8%,"3,848",+629,+19.5%,+6.6
87,Nissaxter,2017,Oct,24,4,20.0,109.0,48.5,-33.8,-41.1%,"3,219",+454,+16.4%,+9.4
88,Nissaxter,2017,Sep,20,5,33.3,77.0,82.3,+29,+54.5%,"2,765",+824,+42.5%,+10
89,Nissaxter,2017,Aug,15,-12,-44.4,150.0,53.3,+51.1,+2286.6%,"1,941",+467,+31.7%,+8.8
90,Nissaxter,2017,Jul,27,0,0.0,86.0,2.2,-,-,"1,474",+25,-,+11.2
